,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
0,1394.7849,,
1,1340.903,,
2,680.98315,,
3,2291.6462,,
4,5723.0596,,
5,1756.5161,,
6,371.14478,,
7,2068.837,,
8,1510.6023,,
9,2525.6584,,
10,1862.4916,,
11,1532.067,,
12,875.794,,
13,1673.4856,,
14,531.62524,,
15,2285.834,,
16,3786.864,,
17,2808.502,,
18,2955.1746,,
19,847.4192,,
20,3512.025,,
21,3506.257,,
22,875.76746,,
23,341.53763,,
24,3414.4727,,
25,373.15048,,
26,622.19336,,
27,2111.7485,,
28,3710.2202,,
29,2177.6667,,
30,99.102585,,
31,2264.0215,,
32,394.99042,,
33,5254.6304,,
34,1835.0411,,
35,4721.443,,
36,2477.667,,
37,444.00198,,
38,3406.4338,,
39,2296.2205,,
40,1043.6317,,
41,255.68256,,
42,2286.2776,,
43,2120.7166,,
44,262.9853,,
45,1749.9073,,
46,118.16554,,
47,3312.0781,,
48,3887.216,,
49,1902.5082,,
50,930.2216,,
51,2084.1038,,
52,3210.5208,,
53,2181.4917,,
54,4914.7964,,
55,2865.4695,,
56,4115.772,,
57,664.5524,,
58,-68.639084,,
59,1369.7493,,
60,2340.4507,,
61,3013.302,,
62,3401.0024,,
63,1066.2657,,
64,2297.242,,
65,2522.2585,,
66,2616.7922,,
67,5073.766,,
68,3801.1028,,
69,4540.424,,
70,2756.6821,,
71,2625.9185,,
72,1759.7639,,
73,4721.737,,
74,2425.7278,,
75,2903.3179,,
76,283.84274,,
77,2818.4292,,
78,409.27805,,
79,2571.0203,,
80,3032.248,,
81,1117.9696,,
82,1780.5303,,
83,3139.5674,,
84,2462.6062,,
85,1811.7878,,
86,3577.0503,,
87,2847.8213,,
88,872.3073,,
89,849.57837,,
90,3070.2507,,
91,5160.2197,,
92,2873.3604,,
93,1904.8784,,
94,1783.543,,
95,755.97766,,
96,2366.4922,,
97,2439.694,,
98,3688.6343,,
99,1084.9673,,
100,2025.196,,
101,1525.1028,,
102,3064.9692,,
103,2147.5093,,
104,268.40137,,
105,5410.766,,
106,43.081917,,
107,835.0054,,
108,1363.5028,,
109,4273.3877,,
110,730.85236,,
111,3221.4246,,
112,125.672775,,
113,5971.3228,,
114,1679.6841,,
115,2323.2646,,
116,837.67084,,
117,1244.0892,,
118,1432.8912,,
119,1487.9506,,
120,4803.654,,
121,422.29333,,
122,1728.0916,,
123,1836.5085,,
124,4987.122,,
125,5166.102,,
126,1904.5349,,
127,622.8634,,
128,1589.846,,
129,1837.2141,,
130,2635.396,,
131,2159.759,,
132,1800.4426,,
133,89.7271,,
134,1334.9635,,
135,233.57143,,
136,213.6572,,
137,1053.3046,,
138,282.84125,,
139,2425.8186,,
140,-123.73707,,
141,716.4644,,
142,1702.7886,,
143,2221.3428,,
144,1541.7224,,
145,1710.0781,,
146,2202.6165,,
147,4425.039,,
148,1573.5197,,
149,1557.6129,,
150,1996.68,,
151,4133.195,,
152,241.50822,,
153,5193.583,,
154,2365.3733,,
155,2234.977,,
156,656.5941,,
157,1174.3802,,
158,1203.2861,,
159,1089.6532,,
160,1999.8884,,
161,2716.696,,
162,3745.6814,,
163,3233.4287,,
164,1160.397,,
165,201.42995,,
166,2368.9407,,
167,2466.3264,,
168,2332.9087,,
169,979.0408,,
170,3306.38,,
171,2716.616,,
172,189.55615,,
173,86.71669,,
174,1873.9124,,
175,2930.5156,,
176,3889.8713,,
177,4493.154,,
178,1005.59576,,
179,5507.6455,,
180,1896.9961,,
181,3011.098,,
182,3383.2778,,
183,1093.3611,,
184,-254.62003,,
185,1611.7003,,
186,3676.4985,,
187,3794.3315,,
188,4240.7656,,
189,2982.376,,
190,1664.8806,,
191,2310.544,,
192,1983.0562,,
193,815.62115,,
194,851.9845,,
195,3653.4517,,
196,476.60596,,
197,2830.5908,,
198,3014.891,,
199,237.62941,,
200,3242.5498,,
201,2030.5416,,
202,3359.8135,,
203,2936.2085,,
204,2049.7295,,
205,1371.4856,,
206,5849.3096,,
207,2014.0869,,
208,3219.6936,,
209,1789.336,,
210,3259.3987,,
211,53.552917,,
212,3557.7654,,
213,1635.3821,,
214,4960.7383,,
215,2109.2175,,
216,417.1656,,
217,6647.93,,
218,2752.7217,,
219,3820.3467,,
220,608.4201,,
221,2527.2551,,
222,3809.0588,,
223,3226.521,,
224,1739.821,,
225,1265.6082,,
226,2580.8484,,
227,2082.0137,,
228,430.41434,,
229,1476.0054,,
230,4530.6157,,
231,462.32025,,
232,1611.3577,,
